id,nombre,nacionalidad,edad,premios
658,Michael Jones,Turkmenistan,42,5
659,Holly Williams,Bolivia,63,2
660,John Jones,Korea,51,1
661,Cindy Reyes,Nauru,35,1
662,Glenn Ayala,Libyan Arab Jamahiriya,38,9
663,Raymond White,Japan,62,5
664,Carrie Snyder,Portugal,35,2
665,Summer Parsons,Italy,79,10
666,Joseph Alvarado,Maldives,59,2
667,Jessica Nash,Central African Republic,77,8
668,Brent Evans,Saudi Arabia,47,0
669,Mathew Barnes,Azerbaijan,69,1
670,Julia Gould,Saudi Arabia,71,6
671,Steven Grant,Chad,23,2
672,Bryan Gomez,United States Minor Outlying Islands,26,1
673,Holly Martin,Western Sahara,57,3
674,Walter Rubio,Gabon,72,9
675,Steven Carpenter,Congo,34,3
676,Valerie Wilson,Myanmar,36,0
677,Emily Snyder,Aruba,30,2
678,Joshua Barr,Tajikistan,43,1
679,Mary Smith,Guadeloupe,69,6
680,Stephanie Johnson,Haiti,55,8
681,Amanda Smith,Kiribati,29,9
682,Cameron Chase,Lebanon,37,1
683,Gerald King,Liechtenstein,74,0
684,Richard Lara,Grenada,35,5
685,Antonio Acosta,Liberia,75,6
686,Mr. Robert Smith,Rwanda,57,3
687,Jonathan Nielsen,Brazil,58,0
688,Calvin Stanton,Denmark,60,2
689,Amy Wu MD,Antarctica (the territory South of 60 deg S),64,5
690,Nancy Dixon,Israel,35,0
691,Jennifer Roth,Colombia,24,5
692,Melinda Lowe,El Salvador,72,3
693,Melissa Lee,Guinea-Bissau,77,5
694,Kenneth Moreno,Belize,67,1
695,David Frank,India,36,1
696,Nathan Charles,Kiribati,43,6
697,David Flores,Trinidad and Tobago,47,6
698,Brenda Hutchinson,Sri Lanka,49,3
699,Ryan Velasquez,Denmark,49,4
700,Samantha Spencer,Micronesia,39,2
701,Shannon Wilson,Kuwait,52,2
702,Patricia Moore,Niger,55,10
703,Kiara Baker,Iraq,53,10
704,Dakota Johnson,Norway,57,9
705,Todd White MD,Mongolia,24,2
706,Rachel Mitchell,Benin,71,3
707,Julie Caldwell,Niger,57,1
708,Rachel Roy,Central African Republic,60,5
709,Erica Miller,Bouvet Island (Bouvetoya),80,4
710,Patrick Henry,Jersey,40,2
711,Jennifer Alvarez,Martinique,33,5
712,Melissa Carter,Nepal,57,3
713,Christopher Watson,Canada,38,1
714,Steven Francis,Chad,39,8
715,Barbara Myers,Reunion,23,6
716,Edward Smith,Congo,75,9
717,Omar Roy,Sao Tome and Principe,38,5
718,John Lawson,Palestinian Territory,64,7
719,Susan Roberts,Peru,60,3
720,Jennifer Kerr,Tuvalu,50,1
721,Nicholas Martin,Tuvalu,24,4
722,Haley Salas,Turkmenistan,78,1
723,Wendy Foster,Bahamas,69,7
724,Jessica Pollard,Swaziland,44,10
725,Elaine Williams,Morocco,74,7
726,James Guzman,Korea,44,3
727,Amanda Becker,Djibouti,47,1
728,Frank Wilson,Greece,40,7
729,Wendy Kelley,Benin,26,10
730,Katherine Hughes,Madagascar,25,3
731,Brian Gonzalez,Montenegro,50,3
732,Carlos Allen,Australia,28,8
733,Angela Dawson,French Polynesia,37,0
734,Gina Jacobs,Iceland,76,7
735,Laura Russell,Slovenia,52,9
736,Lisa Holden,Mauritania,24,9
737,Robert Benson,Djibouti,76,9
738,Cody Collins,Falkland Islands (Malvinas),64,5
739,Brittany Gomez,Sao Tome and Principe,21,6
740,Allen George,Ethiopia,37,5
741,Donald Smith,Singapore,35,9
742,Charles Hall,Papua New Guinea,70,6
743,Nicole Webb,Yemen,68,7
744,Jennifer Walsh,Nepal,79,6
745,Stephen Espinoza,Portugal,69,8
746,Mrs. Angela Sanchez,Wallis and Futuna,51,9
747,Monica Hooper,Samoa,79,7
748,Kelly Jordan,Jordan,69,4
749,April Chan,Marshall Islands,43,4
750,Jeremiah Decker,Guadeloupe,37,9
751,Ryan Young,Falkland Islands (Malvinas),39,8
752,Lindsey Brooks,Hong Kong,27,10
753,Amanda Sloan,Egypt,29,3
754,Mr. Brandon Maxwell,Turkey,40,8
755,Taylor Dudley,Guinea,57,3
756,Sara Duarte,Egypt,72,3
757,Sandra Williams,Moldova,50,3
758,Steven Reid,Cuba,43,0
759,Jennifer Ochoa,Finland,77,3
760,Michael Stewart,Guam,60,3
761,Karen Rose,Senegal,22,5
762,Christopher Brown,Western Sahara,51,3
763,Jennifer York,Guyana,27,3
764,Lisa Padilla,Nigeria,24,1
765,Jeffrey Tran,Guam,41,8
766,Meagan Gill,Central African Republic,40,10
767,Jason Holt,Benin,41,10
768,Stephen Bell,Guinea,25,9
769,James Moran,Zimbabwe,45,8
770,Alexandra Brooks,Cyprus,41,8
771,Benjamin Hogan,Tuvalu,31,5
772,Steven Johnson,Greece,76,2
773,Michelle Patterson,Ghana,58,7
774,Kyle Humphrey,Heard Island and McDonald Islands,25,4
775,Michael Peters,Bouvet Island (Bouvetoya),20,9
776,John Merritt,Uruguay,29,3
777,Isabella Carter,Christmas Island,54,5
778,Andrew Johnson,Montenegro,34,6
779,David Marshall,Australia,55,8
780,Barbara Garcia,Cayman Islands,36,10
781,Rebecca Young,Greece,38,2
782,Jackson Singleton,Guinea-Bissau,46,0
783,Steven Clark,Monaco,76,9
784,Deanna Gates,Nigeria,34,10
785,Janet Davis,Bouvet Island (Bouvetoya),63,10
786,Ryan Collins,Switzerland,59,5
787,Kurt Sandoval,Luxembourg,78,5
788,John Nelson,Iran,49,0
789,Marc Chavez,Marshall Islands,78,3
790,Cynthia Crawford,Tanzania,74,8
791,Mikayla Morton,Nicaragua,25,0
792,Adriana Horne,France,28,9
793,Brandon Gutierrez,Norfolk Island,76,7
794,Joshua Wagner,Cote d'Ivoire,38,6
795,Lori Rodriguez,Mozambique,56,2
796,Megan Miller,Pakistan,60,3
797,Mark Diaz,San Marino,22,4
798,Ronald Mack,Martinique,71,0
799,Joan Edwards MD,Cyprus,37,0
800,Daniel Thompson,Ethiopia,28,9
801,Virginia Wilson,Saint Kitts and Nevis,32,4
802,Richard Robertson,Cape Verde,36,6
803,Kathryn Mason,Aruba,65,9
804,Charles Evans MD,Sudan,39,5
805,Theresa Williams,Martinique,54,7
806,Catherine Williams,British Virgin Islands,73,9
807,Denise White,Japan,78,2
808,Jennifer Orozco,French Guiana,57,1
809,Tammy Juarez,Argentina,67,2
810,Ryan Hoover,Colombia,48,6
811,Derek Ho,French Guiana,24,6
812,Ashley Hudson,Oman,31,6
813,Lisa Barry,Marshall Islands,44,1
814,Jasmine Middleton,Saint Lucia,21,9
815,Sharon Craig,Tonga,50,0
816,James Nguyen,Guinea,46,0
817,Nathaniel Smith,Ukraine,66,1
818,John Garrett,Russian Federation,80,6
819,Amanda Dixon,Hungary,71,6
820,Barbara Spencer,Jersey,52,8
821,Kevin Howard,Cote d'Ivoire,43,5
822,James Vaughn,Vietnam,50,1
823,Samuel White,Switzerland,62,2
824,Jonathan Chapman,Korea,60,6
825,Eric Ramirez,Solomon Islands,25,4
826,Alexa Waller,Heard Island and McDonald Islands,47,2
827,Carla Preston,Pitcairn Islands,64,1
828,Isaac Arroyo,Poland,45,10
829,Anthony Wang,Falkland Islands (Malvinas),53,10
830,Michelle Holloway,Georgia,33,10
831,Tyler Washington,Barbados,29,5
832,Connie Marquez,Turks and Caicos Islands,57,7
833,Nicole Carpenter,Honduras,52,2
834,Carlos Miller,Oman,32,10
835,Steven Harrison,Iraq,23,6
836,Melissa French,Moldova,38,5
837,Carla Smith,Serbia,71,7
838,Phillip Wallace,Suriname,58,1
839,Gary Armstrong,Congo,51,9
840,Megan Davis,El Salvador,34,9
841,Kara Salinas DVM,Kuwait,80,2
842,Stephen Best,Guadeloupe,26,8
843,Jeremy Gilbert,Hong Kong,24,2
844,Chris Smith,Jordan,58,1
845,Rita Lucas,Malawi,54,0
846,Patricia Sexton,Cote d'Ivoire,28,10
847,Jeffrey Frazier,Qatar,31,4
848,Tyler Robinson,United States Minor Outlying Islands,35,4
849,Alan Smith,Mali,74,9
850,Nicole Rogers,Guernsey,70,7
851,Christopher Stevens DVM,Isle of Man,65,10
852,Jorge Reyes,Falkland Islands (Malvinas),31,10
853,Daniel Reed,Western Sahara,58,4
854,Adam Peterson,Senegal,21,1
855,Michael Mejia,Guinea,38,5
856,Jason Wilson,Egypt,52,8
857,Angela Wu,El Salvador,61,0
858,Kathryn Duran,Lebanon,44,3
859,David Keith,Nigeria,62,2
860,Stephen Sullivan,Saint Lucia,22,0
861,Stephanie Burton,Bhutan,72,3
862,Sheila Garcia,Hong Kong,51,5
863,Richard Robinson,Pitcairn Islands,45,4
864,Kayla Duncan,Seychelles,41,4
865,David Miller,San Marino,73,7
866,Tiffany Davenport,Dominican Republic,77,7
867,Cody Smith,Liberia,47,3
868,Mrs. Felicia Figueroa,Thailand,79,2
869,Nicole Rogers,Solomon Islands,62,1
870,Luis Rodriguez,United States of America,76,2
871,Andrew Kemp,American Samoa,71,0
872,Jeff Rivas,Angola,54,2
873,Jesus Boyd,Mayotte,24,10
874,Scott Gallagher,Luxembourg,24,8
875,Eric Thomas,French Guiana,37,1
876,Sandy Benton,Argentina,70,6
877,David Hudson,Paraguay,76,8
878,Cassandra Diaz,Sierra Leone,44,10
879,Janice Cohen MD,Indonesia,64,2
880,Eric Becker II,United States Minor Outlying Islands,67,2
881,Terry King,Norfolk Island,63,1
882,James Wright,Solomon Islands,57,6
883,Brandon Campbell,New Caledonia,59,7
884,Mason Mcbride,Hungary,51,5
885,Tony Elliott,Bosnia and Herzegovina,43,5
886,Renee Alexander,French Guiana,26,6
887,Stephanie Blevins,Dominican Republic,69,8
888,James Lopez,Vanuatu,40,8
889,Elizabeth Bryant,Cuba,59,9
890,Caroline Evans,Lao People's Democratic Republic,76,1
891,Joshua Park,Tunisia,26,10
892,Jordan Dorsey,Liechtenstein,72,7
893,Christina Carlson,Mexico,27,10
894,Ryan Lee,Brunei Darussalam,32,4
895,Ronald Phillips,Montenegro,55,10
896,Harry Miller,Austria,30,0
897,Danielle Beard,Kazakhstan,58,0
898,John Martinez,Armenia,61,10
899,Christina Snow,Grenada,24,4
900,Kevin Newman,Gabon,37,8
901,Rhonda Wallace,United States Minor Outlying Islands,50,6
902,Abigail Hoffman PhD,Philippines,46,9
903,Cassandra Sutton,Iraq,32,5
904,Christopher Delacruz,Montserrat,22,8
905,Carmen Villarreal,Mexico,34,9
906,Amanda Simmons,Somalia,53,10
907,Jessica Parker,Vietnam,21,4
908,Amy Chandler,Armenia,47,5
909,Robert Mcdonald,Azerbaijan,44,6
910,Rick Miller,Panama,29,0
911,Russell Harding,Saudi Arabia,26,8
912,Joshua Butler,Kazakhstan,68,10
913,Elizabeth Dickerson,Liberia,57,3
914,John Lawrence,Kiribati,60,8
915,Eric Vasquez,Iran,26,6
916,Kristina Davis,Vietnam,48,3
917,Marie Vargas,Burkina Faso,73,3
918,Jeffrey Landry,Saint Martin,60,10
919,Jonathan Holland,Hungary,60,6
920,Christopher Mccormick,Eritrea,74,3
921,Gabriela Roach,Cyprus,78,10
922,Jennifer Baldwin,Bahamas,50,2
923,Cameron Wilson,Palestinian Territory,28,1
924,Craig Johnson,Portugal,33,2
925,Alyssa Ray,Cameroon,63,9
926,Miguel Rogers,Argentina,32,0
927,Robert Tran,Australia,46,2
928,Joshua Shelton,Monaco,65,0
929,Laura Williams,Mozambique,67,6
930,Jenny Johnson,Guernsey,66,2
931,William Branch,Kyrgyz Republic,79,1
932,Ashlee Randolph,Svalbard & Jan Mayen Islands,78,6
933,Susan Rodriguez,American Samoa,38,8
934,Aaron Andrews,Italy,65,3
935,Jason Russell MD,Senegal,29,9
936,Rachel Sellers,Saint Lucia,57,0
937,Alex Rodgers,Iran,36,2
938,Mike Howard,Benin,61,1
939,Pamela Ramos,Morocco,73,0
940,Cheryl Barnes,France,54,0
941,Daniel Cruz,Senegal,22,6
942,Kevin Poole,Uganda,60,4
943,Autumn Henderson,Albania,23,9
944,Lori Holt,Western Sahara,53,4
945,Kathleen Prince,Korea,57,8
946,Kayla Knight,China,33,1
947,Lauren Patel,Saint Pierre and Miquelon,35,9
948,William Miller,Togo,68,9
949,Sean Boyer,Brunei Darussalam,50,2
950,William Murphy,Bahrain,43,2
951,Brett Jordan,Mozambique,65,0
952,Alexandra White,Antarctica (the territory South of 60 deg S),42,2
953,John Miranda,Kenya,56,4
954,Jill Smith,Kenya,56,2
955,Shirley Williams,Nepal,63,1
956,Robert Armstrong,Brazil,78,3
957,Christopher Clark,Malaysia,73,3
958,Danielle Hughes,Svalbard & Jan Mayen Islands,28,5
959,Robert Brady,Anguilla,51,2
960,Jessica Morris,Sao Tome and Principe,69,0
961,Marie Hernandez,Belize,29,5
962,Angela Estrada,Poland,51,0
963,Shannon Powers,Mozambique,75,3
964,Michael Smith,Turkey,35,6
965,Veronica Gaines,Sao Tome and Principe,48,6
966,Alicia Guerrero,Spain,61,9
967,Courtney Ortiz,Bahrain,35,4
968,Christopher Edwards,Timor-Leste,43,4
969,Kimberly Simmons,Rwanda,30,7
970,Jennifer Weber DVM,India,20,5
971,Lucas Evans,Kuwait,37,6
972,Joel Tanner,United Kingdom,39,8
973,Adam Brown,Chile,73,2
974,Elizabeth Bryant,Russian Federation,63,0
975,Jessica Herrera,Kazakhstan,27,1
976,Bradley Pollard,Liechtenstein,56,0
977,Ashley Blair,United States Virgin Islands,23,0
978,Ann Turner,Jamaica,64,6
979,Eric Dixon,Malaysia,53,10
980,Patricia Jones,Uzbekistan,23,6
981,Jill Larson,Svalbard & Jan Mayen Islands,75,9
982,Calvin Escobar,Saint Vincent and the Grenadines,55,6
983,Daniel Smith,Mauritania,24,9
984,Angela Byrd,Saint Pierre and Miquelon,53,0
985,Gloria Gross,Cape Verde,35,1
986,Barbara Olson,French Guiana,51,3
987,Melanie Rodriguez,Croatia,50,1
988,Alice Castillo,American Samoa,68,2
989,Nicole Williams,Guadeloupe,38,1
990,Erin Thomas,Cocos (Keeling) Islands,71,10
991,Cameron Harmon,Saint Kitts and Nevis,22,0
992,Austin Mills,Rwanda,26,9
993,Candice Black,Monaco,60,10
994,Tamara Durham,Cuba,59,4
995,Donald Walker,Djibouti,56,8
996,Kenneth Mueller,Congo,41,4
997,Shannon Walters,United States Virgin Islands,69,4
998,Claire Booth,Afghanistan,74,5
999,Amanda Wood,Korea,25,6
1000,Michael Patrick,Afghanistan,55,6
